Series,age,gender,city,marital_status,education_level,speciality,occupation,day_hours,work_experience,current_work_experience,dist_to_work,envir_satisfac,head_satisfac,colleague_satisfac,selfdev_satisfac,wage_satisfac,balance_satisfac,job_satisfac
1,21,1,Lviv,1,3,4,4,8,3,1,0,4,5,5,3,4,4,4
2,52,1,Lviv,2,5,2,3,10,30,6,20,5,5,5,5,5,1,3
3,20,1,Lviv,1,3,4,4,8,1,0.9,0,5,4,5,5,4,3,3
4,18,2,Lviv,1,3,4,3,9,2,2,15,5,5,3,3,4,5,4
5,21,1,Lviv,1,3,4,4,8,3,2,0,3,5,5,5,5,5,5
6,19,2,Lviv,1,3,4,4,8,1,0.25,15,4,5,5,4,4,5,4
7,20,1,Lviv,1,3,4,4,6,1.5,0.9,0,5,5,5,5,5,5,5
8,44,2,Lviv,2,5,2,3,8,15,3,45,3,5,4,3,4,3,3
9,42,1,Lviv,2,5,3,3,8,21,21,25,3,3,4,3,4,4,3
10,20,2,Lviv,1,3,3,3,4,2,1,60,2,1,4,4,3,5,4
11,27,2,Lviv,1,5,3,3,9,6,5,30,3,4,5,5,5,4,5
12,40,2,Lviv,2,5,4,4,9,10,4,0,4,3,5,3,3,3,3
13,18,1,Lviv,1,3,4,4,4,1,0.5,0,3,3,4,1,2,4,3
14,18,2,Kyiv,1,3,3,4,2,1,0.2,0,5,5,5,5,4,5,5
15,40,1,Lviv,2,5,2,3,4,21,14,30,4,4,5,5,4,5,5
16,42,2,Lviv,2,5,3,3,8,23,5,10,5,5,4,4,3,4,5
17,57,2,Lviv,3,2,4,3,8,37,11,40,5,5,3,3,4,4,4
18,23,2,Lviv,1,4,3,3,8,2.5,0.9,45,2,3,3,1,3,3,2
19,30,2,Lviv,3,4,4,3,9,9,1,60,3,4,4,3,4,3,3
20,19,1,Lviv,1,3,2,5,12,3,1.5,10,4,4,5,4,4,3,4
21,20,2,Lviv,1,3,4,3,9,1,1,90,4,5,5,3,3,2,4
22,33,2,Lviv,2,4,4,3,8,8,6,105,4,4,4,5,4,2,3
23,19,2,Lviv,1,3,3,4,10,4,0.7,0,5,5,5,5,4,4,5
24,38,2,Chernivtsi,2,5,4,3,8,15,7,50,3,4,3,3,3,3,3
25,19,1,Lviv,1,1,0,3,7,2.5,1.5,0,3,5,5,5,4,5,5
26,17,1,Lviv,1,3,3,3,7,1,1,0,3,3,4,5,2,5,5
27,20,1,Lviv,1,3,4,4,4,1.5,0.7,0,5,5,3,5,5,4,4
28,18,2,Lviv,1,3,3,3,9,0.5,0.3,40,4,5,5,4,3,1,4
29,18,1,Lviv,1,1,0,3,4,0.5,0.1,0,4,4,4,3,3,4,4
30,20,1,Lviv,1,2,4,4,8,3,2,0,3,4,4,5,4,4,4
31,19,2,Lviv,1,3,4,4,4,0.5,0.25,90,2,5,5,5,4,3,5
32,41,2,Lviv,2,5,1,3,8,12,5,15,5,3,4,3,2,4,3
33,20,2,Irpin,1,1,0,4,8,2.5,0.6,20,4,3,4,4,4,4,4
34,68,2,Sokal,2,5,1,3,7,50,38,15,4,4,3,3,4,5,5
35,30,2,Lviv,2,5,3,3,9,10,3,0,2,1,5,1,4,4,2
36,18,2,Briukhovychi,1,3,4,3,4,0.5,0.2,0,5,5,5,5,5,4,5
37,48,2,Lviv,3,3,3,3,10,38,10,60,3,5,5,5,4,5,5
38,26,2,Lviv,2,5,1,3,6,3,1,20,5,3,3,3,1,2,3
39,43,2,Lviv,2,5,3,3,8,24,17,30,3,5,5,5,4,3,4
40,50,2,Lviv,2,5,2,3,8,30,3,40,4,5,5,5,4,4,4
41,34,2,Lviv,1,5,4,3,8,13,3,45,4,5,4,4,4,3,4
42,19,1,Lviv,1,3,0,3,10,4,4,30,3,5,4,5,3,1,5
43,17,1,Lviv,1,1,2,2,5,1,1,60,5,5,5,5,5,3,5
44,19,2,Lviv,1,3,3,4,5,2,2,0,3,3,3,4,3,3,5
45,20,2,Lviv,1,3,3,3,6,3,0.5,0,5,5,4,4,3,5,4
46,47,2,Lviv,2,5,3,3,8,26,26,30,4,5,5,5,3,4,4
47,38,1,Lviv,2,5,3,4,12,20,0.25,15,4,4,4,4,4,4,4
48,20,2,Lviv,1,3,3,3,6,1,0.7,20,3,5,5,2,5,5,4
49,20,2,Lviv,1,3,3,3,8,1,0.5,50,4,3,5,3,3,2,4
50,23,2,Lviv,1,5,3,3,8,2,1,20,4,3,5,4,3,2,4
51,24,2,Lviv,2,5,3,3,10,1,1,10,5,4,5,4,3,3,4
52,20,2,Lviv,1,3,3,3,5,1,1,30,4,5,5,5,3,5,5
53,23,1,Lviv,1,5,4,4,7,1,1,0,5,5,5,5,5,2,4
54,34,2,Lviv ,2,5,3,3,6,13,4,20,5,5,4,5,4,2,4
55,44,2,Bilyaivka,2,5,4,4,8,17,5,25,4,4,4,4,4,5,4
56,39,2,Lviv,3,5,4,4,8,16,3,0,3,3,4,1,1,3,1
57,42,2,Lviv,3,2,4,3,9,13,1.5,25,4,4,5,4,5,3,4
58,43,1,Lviv,2,5,3,3,8,22,22,40,4,4,3,4,4,4,4
59,45,2,Sokal,2,2,3,3,6,25,18,30,5,1,3,3,1,5,5
60,18,1,Lviv,1,3,4,4,8,0.75,0.25,0,5,5,5,5,5,4,5
61,22,1,Lviv,1,3,4,4,6,9,0.3,0,5,5,4,5,4,5,5
62,49,2,Lviv,3,2,1,3,8,27,7,30,3,5,4,5,4,4,5
63,29,2,Lviv,2,4,3,5,12,5,1.5,0,4,5,5,5,4,5,5
64,42,2,Lviv,2,5,3,4,8,20,0.7,90,3,3,4,2,2,3,3
65,31,2,Lviv,2,5,3,3,10,11,9,50,2,3,4,1,3,3,3
66,43,2,Lviv,2,5,3,3,10,8,6,90,4,4,3,5,3,4,4
67,24,2,Varash,1,3,4,4,9,6,1.5,20,5,4,4,3,3,4,4
68,25,1,Lviv,1,5,3,3,8,1,0.25,0,3,5,2,3,4,4,3
69,20,2,Ternopil,1,3,3,3,12,1.5,0.25,30,4,4,5,3,4,4,4
70,20,2,Lviv,1,3,4,3,12,5,3,10,4,4,5,4,3,3,4
71,24,2,Lviv,1,4,4,3,9,1.5,0.5,30,2,4,3,3,2,3,3
72,19,1,Lviv,1,3,4,4,6,1,1,30,4,3,3,1,5,3,3
73,24,2,Lviv,1,5,4,4,7,3,0.9,0,5,5,3,5,3,4,4
74,20,2,Kyiv ,1,3,3,4,8,5,0.5,0,5,5,4,4,5,5,5
75,27,2,Lviv,2,5,1,3,8,7,6,45,3,5,4,4,4,3,4
76,24,1,Lviv,1,2,2,3,12,6,1,30,4,1,3,1,4,4,3
77,46,1,Sokal ,2,2,5,3,7,20,17,15,4,5,4,5,4,3,4
78,43,1,Stryi,2,4,3,3,8,22,22,5,4,3,3,3,2,5,3
79,20,2,Lviv,1,3,4,4,9,2,2,30,5,3,5,5,3,4,5
80,40,2,Lviv,2,5,5,3,8,20,10,50,5,3,4,3,1,4,3
81,45,1,Lviv,2,5,4,4,8,25,16,0,4,4,5,5,4,4,5
82,18,2,Lviv,1,3,4,4,8,0.1,0.1,60,3,5,4,5,5,4,5
83,18,2,Krakow,1,1,3,3,2,2,2,20,5,5,4,4,4,5,5
84,25,2,Lviv,1,5,4,4,8,3,0.5,30,5,5,4,5,5,3,5
85,21,1,Lviv,1,3,4,4,9,1.5,0.25,0,3,5,5,5,5,2,5
86,20,1,Lviv,1,3,4,4,8,2,1,0,5,5,5,5,4,3,5
87,21,2,Kyiv,1,3,3,5,6,3,1.1,0,4,3,3,4,2,4,4
88,25,1,Kyiv,1,4,3,3,9,7,0.3,90,4,4,4,5,4,5,5
89,41,2,Chernivtsi,2,5,3,3,8,20,20,5,4,4,4,4,4,1,3
90,41,2,Chernivtsi ,2,5,3,3,8,20,6,30,4,3,4,3,1,5,3
91,20,2,Lviv,1,3,4,4,6,2,2,0,4,5,5,4,2,4,3
92,45,2,Lviv,2,2,3,3,6,25,17,40,3,5,2,3,3,4,3
93,24,2,Ivano-Frankivsk,2,5,3,3,8,6,4,10,5,4,5,3,2,4,4
94,18,2,Lviv,1,3,4,4,8,0.1,0.1,60,3,5,4,4,4,4,4
95,18,1,Lviv,1,3,4,4,8,0.25,0.25,0,4,5,5,5,5,4,5
96,22,1,Kyiv,1,3,4,4,8,2.5,0.1,0,2,5,5,5,5,2,4
97,20,2,Lviv,1,3,4,4,8,4,2,0,5,4,5,5,4,4,4
98,28,2,Dusseldorf,2,5,4,4,10,6,1,0,4,4,4,5,2,1,3
99,26,2,Kyiv,1,5,3,3,8,8,1.6,40,4,4,4,4,4,4,4
100,20,1,Lviv,1,3,4,4,4,1,0.125,0,4,4,4,5,5,5,5
101,40,2,Kyiv,3,5,3,3,8,20,2,0,4,4,4,4,4,3,3
102,29,2,Kherson,2,5,5,3,8,9,0.6,15,4,4,4,4,3,3,4
103,25,2,Lviv,1,5,4,4,8,5,2,30,4,5,4,5,5,4,5
104,27,2,Odessa,2,5,4,4,8,5,1,0,5,5,4,5,4,4,5
105,31,2,Lviv,3,5,4,4,8,9,7,0,3,5,5,5,5,5,5
106,29,2,Kharkiv,1,5,3,4,9,2,2,0,4,5,5,4,5,4,4
107,32,2,Kyiv,1,5,1,4,8,11,3,0,5,4,4,4,4,4,5
108,36,1,Kherson,2,5,4,4,10,16,14,10,4,5,5,5,4,3,5
109,24,1,Kyiv,1,5,4,4,8,3,0.1,0,4,4,4,4,4,3,4
110,30,1,Kyiv,2,5,4,4,8,6,6,0,4,3,4,3,3,3,3
111,25,2,Kherson,2,4,4,4,8,6,2,0,2,5,5,5,4,3,4
112,24,1,Odessa,2,5,4,4,8,5,1.5,0,5,5,5,5,4,5,5
113,27,2,Kyiv,1,5,3,4,8,8,1,0,3,3,4,4,3,2,3
114,36,1,Kharkiv,2,5,2,4,8,15,5,0,3,5,5,4,4,4,4
115,23,2,Kharkiv,1,5,4,4,8,4,4,30,4,5,4,4,5,1,4
116,29,2,Kherson,2,4,3,3,8,6,2,0,3,4,4,4,5,4,4
117,32,1,Lviv,2,5,4,4,9,13,8,0,3,4,4,3,5,5,5
118,33,2,Kharkiv,2,5,4,4,8,15,2,0,3,5,5,5,4,3,4
119,38,1,Kharkiv,2,5,4,4,8,15,0.3,0,4,5,5,5,4,5,4
120,29,2,Kharkiv,2,5,3,4,8,10,7,0,3,4,5,5,3,3,3
121,53,1,Kyiv,2,5,4,3,10,35,1,0,4,5,5,5,5,4,5
122,26,2,Kherson,3,5,3,5,8,5,0.7,20,4,5,5,5,4,4,5
123,21,2,Kyiv,2,5,4,4,8,2,0.1,0,5,5,5,5,5,5,5
124,47,1,Kyiv,2,5,4,4,8,30,3,0,5,5,5,5,5,4,5
125,36,2,Kharkiv,3,5,4,4,8,16,6,0,4,5,4,5,4,4,4
126,32,1,Kharkiv,2,5,4,4,9,11,10,0,4,5,5,4,4,4,4
127,28,2,Kherson,1,5,3,3,8,6,3,0,5,5,5,5,4,5,5
128,36,2,Kharkiv,2,5,4,4,8,15,15,0,4,5,5,5,5,4,5
129,28,2,Kyiv,2,5,3,4,8,3,3,0,4,5,5,5,4,4,4
130,24,2,Kherson,1,5,4,4,9,6,2,0.5,3,4,5,5,4,3,5
131,29,2,Kyiv,1,5,4,4,8,5,2,0,4,5,5,5,5,5,5
132,39,1,Vinnytsia,2,5,3,3,8,18,18,30,5,5,5,5,5,5,5
133,34,1,Lviv,2,5,4,4,8,10,1.5,0,5,5,5,5,5,5,5
134,23,2,Kyiv,1,4,4,4,7,3,0.3,0,3,5,5,5,5,4,5
135,26,1,Kherson,1,5,1,4,8,6,0.9,40,5,5,5,5,5,4,5
136,29,1,Lviv,2,3,4,4,6,7.5,2.8,0,4,5,5,5,4,3,4
137,29,2,Lviv,2,5,4,4,8,7,2,0,4,5,5,4,4,3,3
138,32,1,Kharkiv,2,5,4,4,8,10,5,30,3,5,5,5,4,4,4
139,31,1,Kharkiv,1,5,4,4,8,9,4,0,3,3,3,5,3,2,3
140,24,1,Lutsk,1,5,4,4,8,5,1,0,5,5,5,4,5,3,4
141,37,1,Kyiv,2,5,4,4,8,15,3,0,4,5,5,5,4,4,5
142,36,1,Kyiv,3,2,2,4,8,15,0.05,0,4,5,5,4,5,4,4
143,26,2,Kharkiv,1,5,4,4,8,3.5,3.5,0,4,5,5,5,4,4,4
144,28,1,Odessa,2,3,3,4,8,8,1,0,5,5,5,4,5,5,5
145,39,2,Kyiv,2,5,3,3,8,17,9,0,4,5,5,5,5,5,5
146,28,1,Kharkiv,2,5,3,4,8,5,3,0,4,5,5,5,5,5,5
147,26,1,Kherson,1,5,4,4,8,2,0.1,0,4,5,5,5,3,2,4
148,32,1,Irpin,2,5,4,4,10,10,5,0,4,5,5,5,5,5,4
149,28,2,Kherson,2,5,4,4,8,7,1.5,0,3,4,4,4,3,5,4
150,27,1,Kherson,2,5,4,4,7,6,3,0,2,5,4,5,4,5,5
151,25,1,Kharkiv,2,5,4,4,8,5,3,0,4,5,4,4,4,5,4
152,32,1,Kharkiv,1,5,4,4,8,10,8,0,4,4,5,5,4,3,4
153,28,1,Kyiv,1,5,4,4,8,9,2,0,4,5,5,5,4,3,4
154,29,2,Lviv,2,5,3,3,8,7,4,0,3,2,5,3,3,4,2
155,35,1,Kyiv,1,5,4,4,8,8,5,0,4,5,5,4,4,4,4
156,25,1,Kyiv,2,5,4,4,12,5,1,0,3,4,5,4,5,3,4
157,25,2,Kharkiv,1,5,3,4,8,5,2,0,5,5,5,5,5,5,5
158,31,1,Kyiv,1,5,4,4,5,8,1.5,0,3,5,5,5,5,3,4
159,25,1,Kherson,2,4,4,4,8,6,5,15,5,5,5,5,5,5,5
160,33,1,Kharkiv,2,4,2,4,8,10,3,0,4,4,5,4,5,5,5
161,23,1,Odessa,1,5,4,4,8,3,1,0,5,5,5,5,5,5,5
162,30,2,Kyiv,1,5,3,4,9,9,4,0,3,4,4,4,4,2,3
163,34,1,Kharkiv,2,5,2,4,8,13,5,45,3,4,5,3,4,4,4
164,42,1,Zhovkva,2,5,4,4,8,22,2,0,5,5,5,5,5,3,5
165,25,2,Kharkiv,1,5,4,4,8,4,3,0,4,4,5,4,5,5,4
166,28,2,Odessa,1,2,4,4,8,5,0.5,30,5,5,3,2,4,5,3
167,27,2,Kyiv,1,5,4,4,8,8,4.5,0,3,4,4,4,4,3,3
168,32,1,Odessa,2,5,4,4,8,9.5,4.5,0,5,5,5,5,5,4,5
169,22,1,Odessa,1,2,4,4,8,0.1,0.1,0,5,5,5,5,5,4,5
170,21,2,Kharkiv,1,3,4,4,8,1,0.5,0,4,5,5,4,3,4,4
171,29,1,Odessa,1,5,4,4,8,6,1,40,5,5,5,4,4,4,5
172,26,1,Odessa,1,5,4,4,8,6,6,1,5,5,5,5,4,4,5
173,23,2,Kyiv,1,5,4,4,8,4,3,0,4,5,5,5,4,5,5
174,36,1,Kyiv,2,5,4,4,9,17,6,0,4,3,4,4,5,3,4
175,33,1,Kherson,2,5,4,4,8,8,2,0,3,5,5,5,5,2,4
176,32,2,Kharkiv,1,5,4,4,9,9,9,0,3,5,5,5,4,5,5
177,29,2,Kharkiv,2,5,4,4,12,6.5,6.5,0,3,4,5,4,3,2,3
178,28,1,Lviv,1,4,4,4,8,4,0.25,0,4,5,4,5,5,5,5
179,31,2,Kharkiv,1,5,2,4,9,10,2,0,5,5,5,5,5,4,4
180,34,2,Kharkiv,2,5,4,4,8,13,2,0,3,5,5,5,5,4,5
181,26,1,Kharkiv,1,5,4,4,8,2.5,2,0,4,5,5,5,4,4,4
182,36,2,Kharkiv,1,5,4,4,8,12,5,0,5,5,5,5,5,5,5
183,33,1,Kyiv,1,5,4,4,8,11,2,0,3,2,3,2,3,2,2
184,31,2,Kyiv,2,5,3,4,8,13,7,0,4,5,5,5,5,4,5
185,36,1,Kyiv,1,4,3,4,9,15,0.9,0,5,5,5,5,4,4,5
186,35,2,Kherson,1,5,4,4,8,14,1,0,3,3,5,5,3,3,3
187,30,1,Kyiv,1,5,4,4,8,8,4,0,2,5,4,5,4,5,5
188,33,1,Kherson,2,5,3,4,9,3,0.5,0,5,4,3,3,5,4,4
189,30,2,Lviv,3,5,4,4,8,7,0.5,0,5,5,5,5,5,4,4
190,24,1,Lviv,1,5,3,3,8,6,0.25,0,4,4,3,2,3,4,2
191,30,1,Lviv,1,3,4,4,6,5,1.5,30,4,5,5,5,4,4,4
192,25,1,Kyiv,2,5,4,4,8,5,2.5,0,4,5,5,5,4,5,4
193,32,1,Kyiv,1,4,2,4,10,8,6,90,3,4,4,3,4,2,4
194,19,1,Kherson,1,3,4,4,8,1,1,0,4,5,5,4,4,3,4
195,30,1,Kharkiv,1,5,4,4,8,5.5,0.3,0,4,5,5,5,5,5,5
196,38,1,Chernigiv,3,5,4,4,9,20,2,0,5,5,5,5,4,3,5
197,31,1,Lviv,2,5,4,4,7,8,5,45,1,4,4,4,5,4,4
198,32,1,Kyiv,2,5,2,4,8,12,3,0,2,3,4,4,4,5,3
199,28,1,Kyiv,1,5,4,4,8,5,2,0,1,2,2,1,3,4,5